kB,reclen,write,rewrite,read,reread,randomread,randomwrite,bkwdread,recordrewrite,strideread,fwrite,frewrite,fread,freread,version,build,cachesize_kB,cachelinesize_kB,file_stride,id
65536,4096,1173008,3887298,12840078,8083977,14482651,4007328,12022929,7749412,17044783,3762986,3935158,12814936,13736473,3.489,linux-AMD64,1024,32,17,iozone-100.out
65536,8192,1152441,3914033,12649227,8476872,14441563,3907468,10241808,6336248,13794378,3823547,3946287,10091778,14105847,3.489,linux-AMD64,1024,32,17,iozone-100.out
65536,16384,1139660,3932062,8041173,7220744,10170189,3940065,8240534,5179456,8647003,4178250,4124335,8134936,10418827,3.489,linux-AMD64,1024,32,17,iozone-100.out
131072,64,1078293,3952580,7296822,5668941,12441628,3773157,6860901,8040680,11396546,3773493,2702302,6594183,7528549,3.489,linux-AMD64,1024,32,17,iozone-100.out
131072,128,1114206,3953917,13069258,7810717,13484717,3885232,12201664,7870203,13522529,3684794,3649908,13369286,13746367,3.489,linux-AMD64,1024,32,17,iozone-100.out
131072,256,1158923,3996456,13463911,7966920,14143882,4008316,13297174,7430457,13201065,3868827,4089629,13242084,14054569,3.489,linux-AMD64,1024,32,17,iozone-100.out
131072,512,1190071,4070190,7413123,4898614,14636422,4079160,8056115,8642490,13447444,3602385,3746186,7434577,7642736,3.489,linux-AMD64,1024,32,17,iozone-100.out
131072,1024,1183857,4160095,14107224,7977093,14753473,4190569,13183654,8728803,13640295,3745981,3856966,13769435,14855934,3.489,linux-AMD64,1024,32,17,iozone-100.out
131072,2048,1184711,4115807,8263301,5312378,15091653,4171490,13934870,8692367,13754966,3815104,3916454,14095288,14288722,3.489,linux-AMD64,1024,32,17,iozone-100.out
131072,4096,1179966,4202389,8205334,5454965,15114473,4187473,14027315,8497286,14736863,3893984,3688527,13824837,13591061,3.489,linux-AMD64,1024,32,17,iozone-100.out
131072,8192,1131511,4104192,12050550,7983928,14283896,4029410,11927667,6284948,14085898,3738187,3761359,9389060,14139517,3.489,linux-AMD64,1024,32,17,iozone-100.out
131072,16384,1135775,3093437,9488887,7072742,9937236,3958700,9286603,5639226,9077599,3652648,3687092,8241004,9607117,3.489,linux-AMD64,1024,32,17,iozone-100.out
262144,64,1074915,3871113,12466993,7310835,11681546,3559179,10935865,7957223,11656036,3616828,3793370,12957564,13169727,3.489,linux-AMD64,1024,32,17,iozone-100.out
