kB,reclen,write,rewrite,read,reread,randomread,randomwrite,bkwdread,recordrewrite,strideread,fwrite,frewrite,fread,freread,version,build,cachesize_kB,cachelinesize_kB,file_stride,id
128,4,761728,2286447,6045455,4934216,4104338,1939522,4135958,2511022,4135958,1852520,2248149,5379161,6045455,3.489,linux-AMD64,1024,32,17,iozone-002.out
128,8,992724,3277486,10779307,10567140,8548124,3106789,7176872,3895854,9129573,3359523,3199360,8548124,10779307,3.489,linux-AMD64,1024,32,17,iozone-002.out
128,16,1142750,4267461,15881078,18012359,12842051,4135958,10567140,5325799,11720614,4135958,4596273,14200794,14200794,3.489,linux-AMD64,1024,32,17,iozone-002.out
128,32,1240443,4934216,21643049,21643049,18012359,4934216,14200794,6114306,21643049,4557257,6045455,18012359,18012359,3.489,linux-AMD64,1024,32,17,iozone-002.out
128,64,1278855,5545860,25804035,31945770,21643049,5122535,14200794,6727225,21643049,4934216,9287508,20804356,20804356,3.489,linux-AMD64,1024,32,17,iozone-002.out
128,128,1281909,5603747,31945770,41924383,25804035,5325799,18637664,5847904,20804356,5784891,5847904,20804356,25804035,3.489,linux-AMD64,1024,32,17,iozone-002.out
256,4,789628,2118645,5971678,5971678,4840911,2097948,4572895,2509882,4734192,2242541,2266207,5569035,5687020,3.489,linux-AMD64,1024,32,17,iozone-002.out
256,8,1016025,3326279,10245071,10245071,8271916,3159869,7735574,4070199,8024634,3285566,3017775,9868433,10245071,3.489,linux-AMD64,1024,32,17,iozone-002.out
256,16,1173737,4332998,14953435,15164624,12228612,4054829,11569783,5687020,15164624,4422226,4404088,14164395,14353744,3.489,linux-AMD64,1024,32,17,iozone-002.out
256,32,1231629,5117791,19955913,19591792,16072608,4264168,14953435,6936061,19955913,5455847,5455847,18259146,19591792,3.489,linux-AMD64,1024,32,17,iozone-002.out
256,64,1321031,5569035,23441229,22940409,21134280,5569035,18259146,7314033,23441229,6936061,6891544,18259146,23441229,3.489,linux-AMD64,1024,32,17,iozone-002.out
256,128,1293967,5810112,25684103,25684103,23441229,5810112,19591792,6936061,19591792,5022044,10245071,23441229,23441229,3.489,linux-AMD64,1024,32,17,iozone-002.out
256,256,1332507,5971678,25684103,18259146,25084087,4840911,21558614,5810112,25684103,5971678,5938650,25684103,25684103,3.489,linux-AMD64,1024,32,17,iozone-002.out
512,4,778128,2307123,5822804,5822804,4742616,2009236,4571003,2327124,4701087,2216629,2216629,5684095,5624545,3.489,linux-AMD64,1024,32,17,iozone-002.out
512,8,949875,3086326,9859630,9859630,8140399,3122224,7900804,4030519,8234036,3104171,3259661,9468384,9638369,3.489,linux-AMD64,1024,32,17,iozone-002.out
512,16,1153441,4237291,13783088,14146265,12427157,4163357,11620224,5684095,12215097,4228947,4000485,13190469,14146265,3.489,linux-AMD64,1024,32,17,iozone-002.out
512,32,1276891,5079126,18869737,19037014,17069844,4916336,15143846,6909408,19736867,4690818,5115422,18385093,18229030,3.489,linux-AMD64,1024,32,17,iozone-002.out
512,64,1289156,5566231,22183443,22183443,20490142,5079126,19037014,7871843,23139567,6035551,5886650,19736867,22183443,3.489,linux-AMD64,1024,32,17,iozone-002.out
512,128,1329871,5822804,24181823,24457224,22183443,5624545,21516644,7871843,25624554,7115451,6319739,23391616,23139567,3.489,linux-AMD64,1024,32,17,iozone-002.out
512,256,1368865,5886650,24457224,24457224,23391616,5886650,21303197,7115451,24457224,4838792,10434519,22414989,24181823,3.489,linux-AMD64,1024,32,17,iozone-002.out
512,512,1323315,5822804,24457224,25624554,24457224,5398323,23391616,5951911,25624554,5951911,6018636,23139567,26908901,3.489,linux-AMD64,1024,32,17,iozone-002.out
1024,4,786507,2284793,5782087,5751117,4700088,2023250,4356809,2541692,4736370,2210703,2206161,5593820,5660167,3.489,linux-AMD64,1024,32,17,iozone-002.out
1024,8,1020956,3251778,9855234,9765601,8122014,3130886,7941793,4079544,8000971,3200886,3251778,9569770,9677584,3.489,linux-AMD64,1024,32,17,iozone-002.out
1024,16,1161176,4339202,14044758,13818817,10878686,3984917,11773301,5751117,12037272,4195100,4130547,13264026,13818817,3.489,linux-AMD64,1024,32,17,iozone-002.out
1024,32,1280243,4854136,18608584,18291580,16531459,4972145,15977962,7319232,16468073,4762630,5024495,17616353,18608584,3.489,linux-AMD64,1024,32,17,iozone-002.out
1024,64,1301187,5623115,21713061,21823389,20088179,5303701,18608584,8122014,23754601,5601115,5507740,21388672,20869039,3.489,linux-AMD64,1024,32,17,iozone-002.out
1024,128,1347311,5813392,23886714,23754601,22276143,5303701,20569205,8326715,25594883,6244448,5983467,23366889,21713061,3.489,linux-AMD64,1024,32,17,iozone-002.out
